phone,school,region
+17029706800,Amplus Durango Campus,Southern Nevada Charter
+12177415673,Battle Born Academy,Southern Nevada Charter
+17027268600,Beacon Academy of Nevada - Flamingo Campus,Southern Nevada Charter
+17024316260,CIVICA,Southern Nevada Charter
+17026656998,Coral Academy of Science - Cadence Campus,Southern Nevada Charter
+17026854333,Coral Academy of Science - Centennial Hills,Southern Nevada Charter
+17024899797,Coral Academy of Science - Eastgate,Southern Nevada Charter
+17022698512,Coral Academy of Science - Nellis AFB,Southern Nevada Charter
+17027768800,Coral Academy of Science - Sandy Ridge,Southern Nevada Charter
+17024853410,Coral Academy of Science - Windmill,Southern Nevada Charter
+17023162410,Democracy Prep,Southern Nevada Charter
+17022400359,Discovery Charter School - Hillpointe,Southern Nevada Charter
+17024899350,Discovery Charter School - Sandhill,Southern Nevada Charter
+17029607500,Doral Academy Las Vegas - Cactus,Southern Nevada Charter
+17029014950,Doral Academy Las Vegas - Fire Mesa,Southern Nevada Charter
+17027768530,Doral Academy Las Vegas - Red Rock,Southern Nevada Charter
+17028022638,Doral Academy Las Vegas - Saddle,Southern Nevada Charter
+17029164320,Doral Academy Las Vegas - West Pebble,Southern Nevada Charter
+17029070432,Equipo Academy,Southern Nevada Charter
+17028050926,Explore Academy,Southern Nevada Charter
+17029988368,Founders Classical Academy of Las Vegas,Southern Nevada Charter
+17025331896,Freedom Classical Academy,Southern Nevada Charter
+17023315515,Futuro Academy,Southern Nevada Charter
+17026726386,Girls Empowerment Middle School,Southern Nevada Charter
+17022530251,Imagine School Mountainview,Southern Nevada Charter
+17028462310,Legacy Traditional School - Cadence,Southern Nevada Charter
+17023420880,Legacy Traditional School - North Valley,Southern Nevada Charter
+17026371776,Legacy Traditional School - Southwest Las Vegas,Southern Nevada Charter
+17024788318,Mater Academy Las Vegas - Bonanza,Southern Nevada Charter
+17024629361,Mater Academy Las Vegas - East,Southern Nevada Charter
+17024852400,Mater Academy Las Vegas - Mountain Vista,Southern Nevada Charter
+17023018118,Nevada Prep,Southern Nevada Charter
+17023367060,Nevada Rise,Southern Nevada Charter
+17029532600,Nevada State High School - Downtown,Southern Nevada Charter
+17022022227,Pinecrest Academy of Nevada - Cadence,Southern Nevada Charter
+17027493500,Pinecrest Academy of Nevada - Horizon,Southern Nevada Charter
+17024735777,Pinecrest Academy of Nevada - Inspirada,Southern Nevada Charter
+17024629700,Pinecrest Academy of Nevada - Sloan Canyon,Southern Nevada Charter
+17027509150,Pinecrest Academy of Nevada - St. Rose,Southern Nevada Charter
+17252228878,PilotED - Cactus Park Elementary,Southern Nevada Charter
+17025482225,Quest Preparatory Academy,Southern Nevada Charter
+17028679711,Signature Prep,Southern Nevada Charter
+17025226219,Silver Sands Montessori,Southern Nevada Charter
+17029162327,Somerset Academy - Aliante,Southern Nevada Charter
+17026859150,Somerset Academy - Lone Mountain,Southern Nevada Charter
+17029025466,Somerset Academy - Losee,Southern Nevada Charter
+17026335616,Somerset Academy - North Las Vegas,Southern Nevada Charter
+17024892473,Somerset Academy - Skye Canyon,Southern Nevada Charter
+17024788888,Somerset Academy - Sky Pointe,Southern Nevada Charter
+17029980500,Somerset Academy - Stephanie,Southern Nevada Charter
+17027583612,Southern Nevada Trades High School,Southern Nevada Charter
+17024735735,Sports Leadership and Management Academy,Southern Nevada Charter
+17022295437,Strong Start Academy,Southern Nevada Charter
+17024837125,TEACH Las Vegas,Southern Nevada Charter
+15202655589,A+ Charter Schools,Greater Phoenix Charter
+16022438004,AAEC - Paradise Valley,Greater Phoenix Charter
+16023239890,AAEC - SMCC Campus,Greater Phoenix Charter
+14802223999,AAEC Online,Greater Phoenix Charter
+16238886697,Academy of Math and Science Avondale,Greater Phoenix Charter
+16235475587,Academy of Math and Science Camelback,Greater Phoenix Charter
+15208881732,Academy of Math and Science Desert Sky,Greater Phoenix Charter
+15208875392,Academy of Math and Science Peoria Advanced,Greater Phoenix Charter
+16026759696,Academy of Math and Science South Mountain,Greater Phoenix Charter
+16028889572,Academy of Mathematics and Science South,Greater Phoenix Charter
+14808330068,Academy with Community Partners,Greater Phoenix Charter
+16024850309,Accelerated Learning Center,Greater Phoenix Charter
+16236910919,ACCLAIM Academy,Greater Phoenix Charter
